범죄대분류,범죄중분류,불취학,초등학교(재중),초등학교(중퇴),초등학교(졸업),중학교(재중),중학교(중퇴),중학교(졸업),고등학교(재중),고등학교(중퇴),고등학교(졸업),대학(4년미만)(재중),대학(4년미만)(중퇴),대학(4년미만)(졸업),대학(4년이상)(재중),대학(4년이상)(중퇴),대학(4년이상)(졸업),대학원(재중),대학원(중퇴),대학원(졸업),기타,미상
강력범죄,살인기수,6,0,8,17,0,17,28,1,19,77,1,3,13,5,5,29,1,0,6,3,102
강력범죄,살인미수등,13,0,10,30,2,17,46,2,26,136,1,4,10,9,9,28,0,0,3,4,104
강력범죄,강도,12,0,8,27,85,28,75,128,126,387,6,11,23,17,22,37,1,0,6,9,194
강력범죄,강간,14,0,35,96,69,77,227,191,204,1357,47,30,231,252,172,616,26,9,69,34,2357
강력범죄,유사강간,3,0,10,22,18,6,44,38,28,242,4,8,29,62,34,104,9,1,9,9,254
강력범죄,강제추행,95,3,174,594,197,211,757,343,344,4235,84,100,898,593,480,2614,102,27,432,160,3939
강력범죄,기타 강간 강제추행등,1,1,6,14,13,2,20,27,18,93,0,6,15,12,9,31,1,0,1,8,71
강력범죄,방화,22,0,29,85,35,27,120,38,37,395,2,12,30,12,25,102,0,0,13,8,204
절도범죄,절도,2483,46,2697,7428,6491,2197,7674,6495,4368,26710,321,503,3342,1585,2006,7874,194,108,819,1184,13900
폭력범죄,상해,402,5,539,2179,318,829,3562,823,1783,16381,193,316,2170,824,1300,4671,95,67,534,564,5997
폭력범죄,폭행,857,7,1218,5089,748,1999,8389,1729,4063,40382,381,607,5241,2082,2989,13093,283,163,1691,1720,85717
폭력범죄,체포 감금,5,0,6,29,14,18,69,46,59,412,6,13,49,30,33,122,1,1,18,11,753
폭력범죄,협박,132,1,221,839,138,361,1328,232,628,6205,36,106,841,192,489,2140,25,38,312,265,7978
폭력범죄,약취 유인,1,0,5,6,6,0,14,6,4,56,0,3,11,4,5,28,2,0,5,4,136
폭력범죄,폭력행위등,61,10,71,359,1321,338,1391,1910,1277,8185,237,142,746,776,506,1597,45,26,154,313,5877
폭력범죄,공갈,2,0,7,29,250,55,153,325,239,674,11,15,68,42,54,208,5,2,21,42,1232
폭력범죄,손괴,363,0,472,1729,242,658,2720,366,1253,12631,106,208,1793,644,987,4475,78,73,582,509,8827
지능범죄,직무유기,0,0,1,0,0,0,0,0,0,12,0,1,2,0,2,51,0,0,6,0,872
지능범죄,직권남용,1,0,0,0,0,0,0,0,0,23,1,0,9,2,3,74,0,0,14,0,894
지능범죄,증수뢰,0,0,1,4,0,3,8,0,5,142,0,5,35,0,13,215,4,1,67,14,290
지능범죄,통화,0,0,2,3,0,0,2,5,1,11,0,0,1,0,0,2,0,0,0,0,59
지능범죄,문서 인장,24,2,27,193,71,87,375,614,385,2494,38,35,358,162,230,1225,24,20,240,90,8771
지능범죄,유가증권인지,0,0,0,2,0,0,1,0,1,20,0,1,0,1,0,11,1,0,3,1,75
지능범죄,사기,306,12,576,3079,1137,2041,9032,3188,7075,60871,661,1310,6524,3130,6245,16588,342,296,2047,1859,118690
지능범죄,횡령,395,3,461,1544,259,416,1740,638,745,7799,56,130,1175,358,620,3050,45,36,480,259,15721
지능범죄,배임,5,0,7,55,0,11,86,2,33,813,2,7,169,12,68,705,7,9,144,82,6107
풍속범죄,성풍속범죄,34,4,70,232,502,127,350,1231,269,3381,139,112,790,1025,423,2173,114,21,214,133,2202
풍속범죄,도박범죄,145,1,271,1355,5,355,2123,45,621,9123,28,116,923,314,520,1922,17,23,118,352,2748
